Cochrane PubMed ID,Question,Answer,Evidence Quality,Relevant Cited PubMed IDs,Open-Access Full-text Needed,Comment
25739381,"Is neonatal mortality higher, lower, or the same when comparing community-led chlorhexidine skin cleansing to community-led usual skin care?",no difference,high,17210728,no,
25739381,"Is neonatal mortality higher, lower, or the same when comparing community-led chlorhexidine cord cleansing to community-led dry cord care?",lower,high,"22322124, 16546539, 22322126",no,
25739381,"Is the risk of omphalitis/infections higher, lower, or the same when comparing community-led chlorhexidine cord cleansing to community-led dry cord care?",lower,high,"22322124, 16546539, 22322126",no,
29460275,"Is distance visual acuity higher, lower, or the same when comparing vision screening alone to no vision screening?",no difference,high,18614568,no,
29460275,"Is near visual acuity higher, lower, or the same when comparing vision screening alone to no vision screening?",no difference,high,18614568,no,
29460275,"Is visually-related quality of life higher, lower, or the same when comparing vision screening alone to no vision screening?",no difference,high,18614568,no,
29460275,"Is the risk of visual impairment higher, lower, or the same when comparing a detailed health assessment including measurement of visual acuity to a brief health assessment including one question about vision (standard care)?",no difference,moderate,14593039,no,
29460275,"Is visually-related quality of life higher, lower, or the same when comparing a detailed health assessment including measurement of visual acuity to a brief health assessment including one question about vision (standard care)?",no difference,high,14593039,no,
25375291,"Is the risk of job loss higher, lower, or the same when comparing non-pharmacological job loss prevention interventions to usual care?",uncertain effect,very low,"16208658, 14613285",no,
25375291,"Is intermediate term work functioning higher, lower, or the same when comparing non-pharmacological job loss prevention interventions to usual care?",higher,very low,19877106,no,
31425604,"Is time to establish full enteral feeds higher, lower, or the same when comparing monitoring of gastric residual volume and quality to only monitoring of gastric residual quality?",uncertain effect,very low,29866595,no,
31425604,"Is the risk of necrotizing enterocolitis higher, lower, or the same when comparing monitoring of gastric residual volume and quality to only monitoring of gastric residual quality?",uncertain effect,very low,29866595,no,
31425604,"Is time taken to establish full enteral feeds higher, lower, or the same when comparing routine monitoring of gastric residual to no monitoring of gastric residual?",higher,low,"25238118, 25166623",no,
31425604,"Is the number of total parenteral nutrition days higher, lower, or the same when comparing routine monitoring of gastric residual to no monitoring of gastric residual?",higher,low,"25238118, 25166623",no,
34046884,"Is the risk of recurrence higher, lower, or the same when comparing absorbable tacks to nonabsorbable tacks?",uncertain effect,very low,"29799075, 26885113",no,29799075 just states statistical significance but authors downgrade evidence for overall sample size anyway
34046884,"Is the risk of recurrence higher, lower, or the same when comparing nonabsorbable tacks to nonabsorbable sutures?",uncertain effect,very low,20652715,no,
34046884,"Is early postoperative pain higher, lower, or the same when comparing absorbable tacks to absorbable sutures?",uncertain effect,very low,31236731,no,"""Rated down by one level for risk of bias (performance bias) and by two levels for imprecision (optimal information size threshold not reached and 95% confidence intervals include appreciable benefit and appreciable harm)."""
34046884,"Is the risk of recurrence higher, lower, or the same when comparing nonabsorbable tacks to fibrin sealant?",uncertain effect,very low,"29799075, 23657861",no,29799075 just states statistical significance but authors downgrade evidence for overall sample size anyway
30320433,"Is flexibility higher, lower, or the same when comparing exercise to usual care?",higher,very low,17964881,no,
30320433,"Is the number of falls higher, lower, or the same when comparing exercise to usual care?",no difference,very low,19335674,no,
30320433,"Is the rate of falls higher, lower, or the same when comparing exercise to usual care?",insufficient data,n/a,19335674,no,
30320433,"Is the number of fallers higher, lower, or the same when comparing exercise to usual care?",insufficient data,n/a,19335674,no,
30320433,"Is balance as measured by the backward walk test higher, lower, or the same when comparing exercise to usual care?",higher,low,"19949016, 19335674",no,
30320433,"Is fatigue higher, lower, or the same when comparing exercise to usual care?",lower,very low,"17964881, 19949016",no,
34661278,"Is the incidence of bronchopulmonary dysplasia (BPD) higher, lower, or the same when comparing prophylactic CPAP to very early CPAP?",uncertain effect,very low,23930249,yes,
34661278,"Is the risk of death higher, lower, or the same when comparing prophylactic CPAP to very early CPAP?",no difference,very low,23930249,no,
34661278,"Is the incidence of neurodevelopmental impairment higher, lower, or the same when comparing prophylactic CPAP to very early CPAP?",insufficient data,n/a,23930249,no,
34661278,"Is the risk of pneumothorax higher, lower, or the same when comparing prophylactic CPAP to very early CPAP?",insufficient data,n/a,23930249,yes,
34661278,"Is the risk of neurodevelopmental impairment higher, lower, or the same when comparing prophylactic or very early CPAP to supportive care?",insufficient data,n/a,"15321956, 22402568, 24554040, 3102211",no,no studies report it
34661278,"Is the risk of death higher, lower, or the same when comparing prophylactic or very early CPAP to supportive care?",no difference,moderate,"22402568, 24554040, 3102211",no,15321956 omitted with 25% weight
34661278,"Is the risk of failed treatment higher, lower, or the same when comparing prophylactic or very early CPAP to supportive care?",lower,very low,"15321956, 22402568, 24554040, 3102211",no,
34661278,"Is the risk of death or bronchopulmonary dysplasia (BPD) higher, lower, or the same when comparing prophylactic or very early CPAP to mechanical ventilation?",lower,moderate,"18272893, 20472939, 22025591",no,
29969521,"Is the risk of wound infection in open fracture wounds higher, lower, or the same when comparing negative pressure wound therapy (NPWT) at 125 mmHg to standard care?",uncertain effect,very low,"29896626, 19704269, 27857499, 27022347",no,27022347 has fulltext but not neede
29969521,"Is the risk of wound infection in non-fracture traumatic open wounds higher, lower, or the same when comparing negative pressure wound therapy (NPWT) at 125 mmHg to NWPT at 75 mmHg?",uncertain effect,very low,26964825,no,"""downgraded the certainty of the evidence for risk of bias and imprecision"""
29969521,"Is the risk of wound infection in non-fracture traumatic open wounds higher, lower, or the same when comparing negative pressure wound therapy (NPWT) at 75 mmHg to standard care?",uncertain effect,very low,26964825,no,"""downgraded the certainty of the evidence for risk of bias and imprecision"""
33126293,"Is the risk of mortality higher, lower, or the same when comparing 1g paracetamol IV to saline IV?",uncertain effect,very low,26678710,yes,
35514111,"Is the rate of any PCR‐positive SARS‐COV‐2 infection higher, lower, or the same when comparing test‐based attendance to standard 10‐day self‐isolation?",uncertain effect,very low,34534517,yes,
35514111,"Is the rate of COVID‐related absenteeism higher, lower, or the same when comparing test‐based attendance to standard 10‐day self‐isolation?",no difference,low,34534517,no,
35514111,"Is the rate of symptomatic PCR‐positive SARS‐COV‐2 infection higher, lower, or the same when comparing test‐based attendance to standard 10‐day self‐isolation?",uncertain effect,very low,34534517,yes,
35514111,"Is the quality of life higher, lower, or the same when comparing test‐based attendance to standard 10‐day self‐isolation?",insufficient data,n/a,34534517,yes,
35514111,"Is SARS‐CoV‐2‐related mortality higher, lower, or the same when comparing test‐based attendance to standard 10‐day self‐isolation?",insufficient data,n/a,34534517,yes,
35514111,"Is the rate of hospitalization higher, lower, or the same when comparing test‐based attendance to standard 10‐day self‐isolation?",insufficient data,n/a,34534517,yes,
32441330,"Is loneliness at 6 months higher, lower, or the same when comparing video calls to usual care?",uncertain effect,very low,"31992217, 22086660",yes,"""We downgraded the certainty of this evidence by three levels for study limitations, imprecision and indirectness."""
32441330,"Is loneliness at 1 year higher, lower, or the same when comparing video calls to usual care?",uncertain effect,very low,22086660,yes,"""We downgraded the certainty of this evidence by three levels for study limitations, imprecision and indirectness."""
32441330,"Is depression at 6 months higher, lower, or the same when comparing video calls to usual care?",uncertain effect,very low,"31992217, 22086660",yes,"""We downgraded the certainty of this evidence by three levels for study limitations, imprecision and indirectness."""
32441330,"Is depression at 1 year higher, lower, or the same when comparing video calls to usual care?",uncertain effect,very low,22086660,yes,"""We downgraded the certainty of this evidence by three levels for study limitations, imprecision and indirectness."""
32441330,"Is physical-role quality of life higher, lower, or the same when comparing video calls to usual care?",uncertain effect,very low,31992217,yes,
30977111,"Is anxiety higher, lower, or the same when comparing antidepressants to placebo?",uncertain effect,low,"27664274, 21936344, 26600836",yes,fulltext needed for exact stats from 27664274
30977111,"Is depression higher, lower, or the same when comparing antidepressants to placebo?",uncertain effect,low,"27664274, 21936344, 26600836",yes,fulltext needed for exact stats from 27664274
30977111,"Is the risk of adverse events higher, lower, or the same when comparing antidepressants to placebo?",uncertain effect,low,27664274,yes,"called ""side effects"" in the original paper"
30977111,"Is maintenance of clinical remission higher, lower, or the same when comparing antidepressants to placebo?",uncertain effect,low,27664274,yes,
37594020,"Is pain relief at 48 hours higher, lower, or the same when comparing paracetamol to placebo?",higher,low,8871138,no,
37594020,"Is pain relief at 48 hours higher, lower, or the same when comparing NSAIDs to placebo?",higher,low,8871138,no,
30039850,"Is the risk of cryptococcal IRIS events higher, lower, or the same when comparing early ART initiation to delayed ART initiation?",uncertain effect,very low,"24963568, 23362285",yes,fulltext needed for 24963568
30039850,"Is virological suppression at 6 months higher, lower, or the same when comparing early ART initiation to delayed ART initiation?",uncertain effect,very low,24963568,yes,23362285 omitted with 12% weight
30039850,"Is all-cause mortality at 6-12 months higher, lower, or the same when comparing early ART initiation to delayed ART initiation?",higher,low,"23362285, 24963568, 20415574, 19440326",yes,
30039850,"Is the risk of cryptococcal meningitis relapse higher, lower, or the same when comparing early ART initiation to delayed ART initiation?",lower,low,24963568,yes,23362285 omitted with 15.9% weight
27056645,"Is the risk of adverse events higher, lower, or the same when comparing chromoscopy to conventional endoscopy?",insufficient data,n/a,"12196768, 14960519, 20179689, 16527699, 21159889, 16767577, 19139000",no,
25375291,"Is the risk of adverse events higher, lower, or the same when comparing non-pharmacological job loss prevention interventions to usual care?",insufficient data,n/a,"16208658, 14613285, 19877106",no,
25620061,"Is the overall survival rate higher, lower, or the same when comparing percutaneous acetic acid injection (PAI) to sham intervention?",insufficient data,n/a,"9425919, 16009687, 15973099",no,
25620061,"Is the overall survival rate higher, lower, or the same when comparing percutaneous ethanol injection (PEI) to sham intervention?",insufficient data,n/a,"9425919, 16009687, 15973099",no,
25620061,"Is the overall survival rate higher, lower, or the same when comparing percutaneous acetic acid injection (PAI) to no intervention?",insufficient data,n/a,"9425919, 16009687, 15973099",no,
25620061,"Is the overall survival rate higher, lower, or the same when comparing percutaneous ethanol injection (PEI) to no intervention?",insufficient data,n/a,"9425919, 16009687, 15973099",no,
25739381,"Is the risk of omphalitis/infections higher, lower, or the same when comparing community-led chlorhexidine skin cleansing to community-led usual skin care?",insufficient data,n/a,17210728,no,
27078125,"Is maternal anaemia higher, lower, or the same when comparing oxytocin to no intervention?",insufficient data,n/a,24130463,no,
27078125,"Is neonatal death within 28 days higher, lower, or the same when comparing oxytocin to no intervention?",insufficient data,n/a,24130463,no,
27078125,"Is the rate of breastfeeding higher, lower, or the same when comparing oxytocin to no intervention?",insufficient data,n/a,24130463,no,
27078125,"Is the rate of breastfeeding higher, lower, or the same when comparing oxytocin to no intervention?",insufficient data,n/a,24130463,no,
32104914,"Is global cognitive function at the end of intervention higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",insufficient data,n/a,"23531885, 25511081, 20418350",no,
32104914,"Is the rate of activities of daily living higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",insufficient data,n/a,"23531885, 25511081, 20418350",no,
32104914,"Is the rate of activities of daily living higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to active control interventions?",insufficient data,n/a,"27698558, 29261218, 21615936, 26417460, 21311196, 23531885",no,
32104914,"Is the risk of adverse effects higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",insufficient data,n/a,"23531885, 25511081, 20418350",no,
32104914,"Is the risk of adverse effects higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to active control interventions?",insufficient data,n/a,"27698558, 29261218, 21615936, 26417460, 21311196, 23531885",no,
32104914,"Is quality of life higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",insufficient data,n/a,"23531885, 25511081, 20418350",no,
32104914,"Is quality of life higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to active control interventions?",insufficient data,n/a,"27698558, 29261218, 21615936, 26417460, 21311196, 23531885",no,
24477672,"Is duration of ICU stay higher, lower, or the same when comparing early physical therapy to control?",no difference,n/a,19446324,yes,
24477672,"Is duration of mechanical ventilation higher, lower, or the same when comparing early physical therapy to control?",lower,n/a,19446324,no,
24477672,"Is mortality rate at 30 days higher, lower, or the same when comparing early physical therapy to control?",insufficient data,n/a,19446324,no,
24477672,"Is mortality rate at 180 days higher, lower, or the same when comparing early physical therapy to control?",insufficient data,n/a,19446324,no,
24477672,"Is mortality rate at 180 days higher, lower, or the same when comparing electrical muscle stimulation (EMS) to no stimulation?",insufficient data,n/a,20426834,no,
24477672,"Is mortality rate at 30 days higher, lower, or the same when comparing electrical muscle stimulation (EMS) to no stimulation?",insufficient data,n/a,20426834,no,
28282491,"Is rheumatoid arthritis remission rate higher, lower, or the same when comparing tofacitinib monotherapy to placebo?",insufficient data,n/a,"16162882, 12115176, 24972708, 23294500",no,
28282491,"Is radiographic progression higher, lower, or the same when comparing tofacitinib and MTX to MTX and placebo?",insufficient data,n/a,23294500,no,
28282491,"Is radiographic progression higher, lower, or the same when comparing biologic + MTX to only MTX/other traditional DMARDs?",insufficient data,n/a,"16947627, 18625622, 19560810",no,
28282491,"Is patient function measured by HAQ higher, lower, or the same when comparing biologic monotherapy to placebo?",insufficient data,n/a,"16162882, 12115176, 24972708",no,
28282491,"Is radiographic progression higher, lower, or the same when comparing biologic monotherapy to placebo?",insufficient data,n/a,"16162882, 12115176, 24972708",no,
28282491,"Is cancer risk higher, lower, or the same when comparing biologic monotherapy to placebo?",insufficient data,n/a,"16162882, 12115176, 24972708",no,
27977844,"Is pain relief for children with acute otitis media at 48 hour higher, lower, or the same comparing paracetamol to placebo? ",lower,very low,8871138,no,
36107778,"Is visual acuity at 5 years higher, lower, or the same when comparing children with pseudophakia and aphakia?",no difference,very low,29906430,no,
33755197,"Is the mean intraocular pressure (IOP) higher, lower, or the same when comparing argon LPIp as a primary procedure with peripheral iridotomy to peripheral iridotomy alone?",no difference,low,"21860572, 20472226",yes,
38205823,"Is the effect on neuropathy symptoms measured by Total Symptom Score (TSS) after six months lower, higher, or the same when comparing Alpha-lipoic acid with placebo?",no difference,low,10480774,no,
34416013,"Is mortality in people living with HIV at eight weeks higher, lower, or the same when comparing the use of lipoarabinomannan assay (LAM) testing to routine tuberculosis diagnostic testing?",lower,moderate,"30032978, 26970721",no,
31805611,"Is the proportion of wounds which are infection-free for dog bites higher, lower, or the same when comparing primary closure to no closure?",uncertain effect,n/a," 23916901, 23902527",no,
35377462,"Is the need for mechanical ventilation in children with acute bronchiolitis higher, lower, or the same when comparing continuous positive airway pressure (CPAP) to control?",lower,low,"28952459, 22431446, 17344251",no,
37249304,"Is the rate of modified Rankin Scale (mRS) at three months higher, lower, or the same when comparing thrombo-aspiration to stent-retrieval thrombectomy?",no difference,n/a,"28763550, 30860055",no,
25274134,"Is hospital mortality higher, lower, or the same when comparing the study group with omentoplasty to the control?",no difference,n/a,"17062260, 22648923",no,
29149469,"Is postextubation stridor higher, lower, or the same when comparing cuffed to uncuffed endotracheal tubes (ETTs)?",no difference,very low,19887533,no,
31989588,"Is the overall survival higher, lower, or the same when comparing hormone replacement therapy (HRT) to control?",higher,low,"26417001, 10491528, 22740889",no,
25352226,"Is the incidence of congenital syphilis higher, lower, or the same when comparing on-site screening to control? ",lower,n/a, 19773681,no,
28884476,"Is the risk of symptomatic UTI higher, lower, or the same when comparing bladder inoculation using E. coli to control?",uncertain effect,very low," 16231269, 21683991, 20483149",no,
24519664,"Is urinary calcium higher, lower, or the same when comparing low salt, normal calcium diet with a broad diet?",lower,n/a,20042524,no,
27813057,"Is the number of deaths higher, lower, or the same when comparing maintenance-fluid to restricted-fluid? ",no difference,low,12070950,no,
28432791,"Is initiation rate of contraceptive implants at the first postpartum check-up higher, lower, or the same when comparing the immediate insertion group to the delayed insertion group? ",higher,moderate,"7847530, 21508750, 27561981",no,
26544672,"Is six-minute walk distance (6MWD) higher, lower, or the same when comparing following exercise training and control? ",higher,n/a,"25407957, 18245143 ",no,
27726122,"Is functional status at 9 to 12 months higher, lower, or the same when comparing reablement and usual care? ",higher,n/a,"23009672, 26537789",no,
27871122,"Is freedom from atrial arrhythmias higher, lower, or the same when comparing catheter ablation to anti-arrhythmic drugs? ",higher,low,"18775050, 24135832, 16214831",no,
26305459,"Is points on disability scale mprovement higher, lower, or the same when comparing plasma exchange with sham exchange? ",higher,n/a, 8813270,no,
26068943,"Is the rate of caesarean delivery higher, lower, or the same when comparing Bishop score to transvaginal ultrasound (TVUS)?",no difference,moderate," 15660437,  21484904",no,
26058966,"Is birth weight higher, lower, or the same when comparing caffeinated instant coffee and decaffeinated instant coffee? ",no difference,low,17259189,no,
38235907,"Is all-cause mortality higher, lower, or the same when comparing the placement of transjugular intrahepatic portosystemic shunts (TIPS) placement with conventional treatment?",uncertain effect,low,"12454841, 10841872",no,
25965055,"Is visual acuity at 6 to 12 months higher, lower, or the same when comparing macular hole and vitrectomy?",higher,moderate,"14769600, 9006420, 8644802",no,
27886368,"Is the number of antibiotics used by patients higher, lower, or the same when comparing the use of written information to usual care?",lower,moderate,19640941,no,
31868929,"Is primary patency rate higher, lower, or the same when comparing endovascular group and the surgery group?",no difference,moderate,16102611,no,
25051925,"Is visual acuity higher, lower, or the same when comparing part-time occlusion (with any necessary glasses) to glasses alone?",higher,n/a,"16751033, 15838439",no,
37327075,"Is overall survival higher, lower, or the same when comparing Ppost-mastectomy radiotherapy (PMRT) to control?",higher,moderate,17306393,no,
25425010,"Is the enrollment of children into health insurance higher, lower, or the same when comparing people offered health insurance information to control?",higher,moderate,16322168,no,
25502626,"Is clinical pregancy rate higher, lower, or the same when comparing the group who underwent ovarian cyst aspiration to the conservatively managed group?",no difference,low,"2120087,  16253965",no,
31578708,"Is the incidence rate of Frey's syndrome higher, lower, or the same when comparing sternocleidomastoid muscle flap procedure to control?",no difference,low," 12464202, 15871587",no,
30259968,"Is measures of pain at any of the time points higher, lower, or the same when comparing  systemic antibiotics and placebo?",no difference,very low," 8734709, 11491635",no,
29998494,"Is cardiac iron assessment, as measured by heart T2* at 12 months higher, lower, or the same when comparing amlodipine to control?",no difference,low,"23830536, 27412888",no,
37387544,"Is the time to establish enteral feeds higher, lower, or the same when comparing re-feeding to discarding gastric residuals?",no difference,low,25552280,no,
28282491,"Is improvement in ACR50 higher, lower, or the same when comparing tofacitinib monotherapy to placebo?",insufficient data,n/a,"16162882, 12115176, 24972708, 23294500",no,
